scenario,group,cumulative_utility_mean,cumulative_utility_sd,cumulative_utility_ci_lo,cumulative_utility_ci_hi,mean_quality_true,mean_quality_surface,fatal_errors_mean,fatal_errors_sd,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,Blind,-23858.4,1657.9741319520706,-24178.0,-23543.4,0.34410666666666695,0.40294083333333325,208.94,12.65774805637187,0.3084999999999999,0.5271080190478232,0.316264811428694,0.08333333333333372,5.9,5.51,0.15200000000000005,999.0,0.0
baseline,MOO,-477.0,2349.893399688375,-940.8,-32.8,0.7657158333333333,0.7428908333333325,69.28,12.037886320725374,0.7064500000000001,0.7019237292028256,0.4215042375216951,0.07016302960306871,750.49,949.19,0.11050000000000003,999.0,0.07517148614491702
baseline,MOO-cap,542.6,2901.730107394831,-39.4,1114.0,0.7865208333333332,0.7527441666666664,63.95,13.00767061965727,0.7225500000000001,0.7200985159008603,0.43245910954051625,0.07550664043242611,880.26,949.12,0.08499999999999998,999.0,0.008852400678343126
baseline,TRUE,708.0,1835.6910459447188,353.2,1075.8,0.7646,0.7390041666666665,61.67,8.389573856576357,0.7295000000000006,0.638882626822213,0.39467957609332777,0.0671665552839929,0.16,1.5,0.4055,96.03,0.22577897810732714
baseline,TRUE-no-cap,-397.4,2021.6158253868477,-802.0,6.2,0.7001724999999996,0.685033333333333,63.87,8.942752835834629,0.7239500000000004,0.5739946879714427,0.37539681278286574,0.058525882022025695,0.01,0.17,0.6244999999999997,92.35,0.23223578896393207
baseline,TTB,-565.2,3924.7462711529893,-1380.0,160.4,0.7589433333333331,0.7352299999999998,67.36,18.028327877554425,0.7077,0.7370233036663356,0.44271398219980157,0.0723856110753379,801.62,910.51,0.018000000000000006,999.0,0.033682966522603754
baseline,TTB-cap,1811.8,1757.4524606700322,1483.0,2186.0,0.8010700000000002,0.7655116666666664,58.76,7.7055928789523795,0.7427499999999998,0.7395493958004414,0.4439296374802651,0.077956386014927,999.0,999.0,0.0,999.0,0.0
observation_manipulated,Blind,-25003.2,1789.890172128678,-25364.4,-24659.6,0.33785916666666693,0.4379350000000002,197.24,11.454891769656554,0.3375999999999999,0.5192442997473554,0.3115465798484133,0.08333333333333372,6.02,6.45,0.13649999999999998,999.0,0.0
observation_manipulated,MOO,-910.0,3766.2890666189355,-1735.6,-230.8,0.7566324999999999,0.6383899999999997,66.61,17.037033340652506,0.7196999999999996,0.6461655975746442,0.38769935854478654,0.06775214207425094,544.36,862.17,0.2150000000000001,999.0,0.007841458190249973
observation_manipulated,MOO-cap,1696.8,2369.9818351603244,1234.0,2140.4,0.7914591666666666,0.6532108333333333,54.6,9.641031840497932,0.7605499999999998,0.6925979524887985,0.41555877149327913,0.07508767966894983,859.78,979.04,0.09499999999999999,999.0,-0.011962719895970671
observation_manipulated,TRUE,2102.4,1755.7738056383164,1752.4,2443.6,0.7690825,0.6384799999999994,51.74,7.040460269618799,0.7701000000000002,0.602168681979811,0.36270120918788673,0.06661470792180596,0.0,0.03,0.43849999999999995,6.19,-0.008151192738004092
observation_manipulated,TRUE-no-cap,-1176.0,2034.5460864226638,-1570.8,-780.4,0.6351049999999997,0.5715391666666664,58.93,8.055683732870873,0.74125,0.46979888131155745,0.2973793287869344,0.056701570960621756,0.0,0.03,0.7364999999999999,3.69,-0.011237268793548914
observation_manipulated,TTB,1110.0,2979.278605652887,464.8,1646.0,0.7592741666666666,0.6378099999999995,55.4,12.204486672920535,0.7571000000000003,0.7380663840164717,0.44288983040988283,0.07226398342839203,831.3,880.8,0.026000000000000002,999.0,0.00627285699122682
