scenario,group,cumulative_utility_mean,cumulative_utility_sd,cumulative_utility_ci_lo,cumulative_utility_ci_hi,mean_quality_true,mean_quality_surface,fatal_errors_mean,fatal_errors_sd,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,Blind,-23907.4,1612.618561924247,-24245.0,-23588.2,0.3405916666666668,0.4029216666666666,210.47,11.798352050651443,0.3077500000000001,0.531884264388774,0.3191305586332644,0.08333333333333372,5.37,7.55,0.1295,999.0,0.0
baseline,MOO-cap,217.0,3056.05856282139,-417.2,773.2,0.7818133333333328,0.7575249999999998,65.74,14.872264199651728,0.7171500000000001,0.7124559506266102,0.4280735703759662,0.07482348557906969,849.64,969.08,0.11350000000000002,999.0,0.043886920876129644
baseline,TRUE,735.4,1967.2035322695353,342.4,1102.8,0.7636141666666663,0.736270833333333,61.41,8.417268205326717,0.7305499999999999,0.6160677848640389,0.38119067091842324,0.06689910371782055,0.12,1.59,0.447,33.38,0.2707456007572077
baseline,TTB-cap,1399.8,1858.7635621019635,1044.4,1756.8,0.7968316666666664,0.7705924999999999,60.67,7.816138445678927,0.7356500000000004,0.7391692025798257,0.4438515215478954,0.07794182865004616,999.0,999.0,0.0,999.0,0.0
observation_manipulated,Blind,-25323.2,1989.204642843745,-25718.0,-24922.8,0.33552000000000004,0.4371633333333335,199.19,13.317183401056461,0.33179999999999993,0.5190938752261023,0.31145632513566124,0.08333333333333372,4.93,6.39,0.14049999999999996,999.0,0.0
observation_manipulated,MOO-cap,1852.4,2915.3924905126196,1252.0,2396.8,0.7919616666666662,0.6570124999999999,53.91,11.692261966744924,0.7626000000000001,0.6936892360311038,0.41621354161866253,0.07526658170539492,869.84,969.03,0.053500000000000006,999.0,0.009957232215683646
observation_manipulated,TRUE,1392.4,2037.0046934683585,1006.8,1777.6,0.76143,0.6440741666666666,54.12,7.609510264441888,0.7602499999999999,0.5521875036914904,0.33261250221489436,0.06630654717738274,0.01,0.04,0.5495,4.57,0.004860474097445924
observation_manipulated,TTB-cap,2751.2,1838.6255736283013,2389.6,3118.0,0.8046475000000001,0.6627266666666664,50.24,7.329365317651724,0.7756500000000002,0.7350752702541246,0.4410451621524746,0.07792824249357547,999.0,999.0,0.0,999.0,0.0
safety_critical,Blind,-53714.0,2501.806216203474,-54199.2,-53209.8,0.34326083333333346,0.3770308333333335,214.43,12.92031131375883,0.29700000000000004,0.5347007902964035,0.320820474177842,0.08333333333333372,7.19,6.71,0.12899999999999998,999.0,0.0
safety_critical,MOO-cap,-2841.2,3300.6859648236514,-3475.0,-2213.4,0.8195433333333334,0.7426774999999995,40.37,8.122365928892165,0.8162999999999997,0.7368284114799036,0.4485470468879425,0.07625936419205431,929.39,989.01,0.025999999999999995,999.0,0.02636167815542414
safety_critical,TRUE,-3665.4,2906.9319520307617,-4230.8,-3135.0,0.7920941666666667,0.7222550000000002,41.41,7.208433612895048,0.8126000000000002,0.6403933219588626,0.40578599317531755,0.0676908896018594,0.27,2.46,0.37249999999999994,151.71,0.11084828771861396
safety_critical,TTB-cap,-1982.8,2670.846754090991,-2512.6,-1452.4,0.8282791666666667,0.7511800000000002,39.06,6.3098768176998075,0.8224000000000005,0.7461317603850383,0.4533290562310228,0.07787985136556974,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,Blind,-21928.1,1609.54394381474,-22237.0,-21607.8,0.33685583333333347,0.39196166666666676,206.3,13.03259317436422,0.30265000000000014,0.5352906728865521,0.3211744037319312,0.08333333333333372,7.69,8.3,0.136,999.0,0.0
utility_trust_misalignment,MOO-cap,2395.1,1954.6368052413318,2009.0,2775.0,0.7638316666666668,0.7258558333333334,57.3,9.521374147493924,0.74735,0.7215011496481115,0.4329006897888672,0.07536399949608977,850.16,969.04,0.0395,999.0,0.06810067457182524
utility_trust_misalignment,TRUE,1983.0,1656.0318276353912,1657.6,2319.7,0.7440191666666662,0.7060624999999999,57.23,7.660544327522646,0.7454999999999998,0.5891891253202766,0.36251347519216565,0.06669193820744637,0.13,0.08,0.5045000000000001,95.31,0.27208833850374237
utility_trust_misalignment,TTB-cap,3103.7,1417.386024135324,2826.5,3377.0,0.7806000000000001,0.7382816666666667,54.63,6.505095128148598,0.7551500000000003,0.7364922491571767,0.442045349494306,0.07794435874029404,999.0,999.0,0.0,999.0,0.0
