scenario,group,cumulative_utility_mean,cumulative_utility_sd,cumulative_utility_ci_lo,cumulative_utility_ci_hi,mean_quality_true,mean_quality_surface,fatal_errors_mean,fatal_errors_sd,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,Blind,-23574.0,2103.1214895958815,-24493.0,-22716.0,0.3473875000000001,0.4066625000000001,208.3,16.167218294079568,0.314,0.5276719375541571,0.3166031625324942,0.0833333333333335,5.95,5.75,0.16249999999999998,999.0,0.0
baseline,TTB-cap,1152.0,1546.7915860019139,530.0,1820.0,0.7966958333333334,0.7627958333333332,60.65,6.830851068189781,0.7325,0.7409583265853343,0.4445749959512006,0.07790880934959649,999.0,999.0,0.0,999.0,0.0
observation_manipulated,Blind,-26416.0,1874.6575827685383,-27234.0,-25616.0,0.33402916666666677,0.4410541666666668,203.25,10.269397563430363,0.31275,0.5212461262361345,0.31274767574168083,0.0833333333333335,6.7,4.15,0.15000000000000002,999.0,0.0
observation_manipulated,TTB-cap,2884.0,2079.1860755695016,1998.0,3780.0,0.8090958333333333,0.6595041666666664,50.3,7.269981539106366,0.7775000000000001,0.7384980782039258,0.4430988469223555,0.07820335217962093,999.0,999.0,0.0,999.0,0.0
