run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,baseline,TRUE,-2700.0,-13.5,0.7276666666666662,0.7326666666666664,75,0.675,0.5300343249427917,0.323020594965675,0.06490340212354805,0,2,0.7,1,0.0
1,baseline,TTB-cap,0.0,0.0,0.7909166666666664,0.7819166666666664,68,0.71,0.742562929061785,0.44553775743707097,0.07762573735655134,999,999,0.0,999,0.0
1,baseline,MOO-cap,1000.0,5.0,0.769166666666666,0.7434166666666667,62,0.74,0.68220823798627,0.40932494279176196,0.07030960860379515,3,999,1.05,999,0.0
1,baseline,Blind,-25100.0,-125.5,0.33508333333333346,0.3769999999999999,218,0.285,0.5098684210526316,0.305921052631579,0.0833333333333335,3,14,0.1,999,0.0
2,baseline,TRUE,-460.0,-2.3,0.7591666666666665,0.7067499999999999,64,0.715,0.6601426076833528,0.41608556461001167,0.06897451956871818,1,1,0.25,3,0.0
2,baseline,TTB-cap,1540.0,7.7,0.8075,0.7708333333333336,60,0.735,0.7397409778812574,0.44384458672875443,0.07795679796676838,999,999,0.0,999,0.0
2,baseline,MOO-cap,600.0,3.0,0.7909999999999999,0.7580000000000005,67,0.72,0.6448632130384169,0.3869179278230501,0.0727300776700631,1,999,1.1,999,0.0
2,baseline,Blind,-23800.0,-119.0,0.3297500000000002,0.4219999999999999,203,0.31,0.5152066356228173,0.3091239813736904,0.0833333333333335,0,15,0.05,999,0.0
3,baseline,TRUE,-3180.0,-15.9,0.7561666666666668,0.7356666666666665,77,0.665,0.5990232163080407,0.3694139297848244,0.0665203481203473,0,0,0.4,2,0.8264202601599466
3,baseline,TTB-cap,-940.0,-4.7,0.789083333333333,0.7597499999999998,75,0.685,0.7496460928652322,0.4497876557191393,0.07825970189365881,999,999,0.0,999,0.0
3,baseline,MOO-cap,-180.0,-0.9,0.7688333333333331,0.7539999999999998,64,0.715,0.7506370328425822,0.4503822197055493,0.07562603616074778,999,999,0.0,999,0.0
