group,cumulative_utility_mean,cumulative_utility_sd,mean_quality,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
Blind,-21485.4,1889.4579523067862,0.3835358333333334,178.16,0.35395000000000004,0.0,0.0,0.08333333333333372,7.27,9.04,0.12100000000000004,999.0,0.0
MOO,-5788.4,9685.978277485408,0.6782966666666664,96.04,0.6213000000000001,0.07602539250723749,0.04376269625361875,0.0730581454677306,999.0,999.0,0.0,999.0,0.01201190534657804
TRUE,1405.6,1671.2351447629712,0.7715799999999998,58.02,0.7425999999999998,0.10719660683999863,0.06997330341999931,0.06792685515454809,0.23,1.7,0.30100000000000005,999.0,0.5884045382111522
