run,group,cumulative_utility,mean_utility,mean_quality,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
36,Blind,-18560.0,-92.8,0.37291666666666684,165,0.41,0.5892964071856288,0.3535778443113773,0.0833333333333335,1,12,0.3,999,0.0
36,MOO,1000.0,5.0,0.7943333333333332,60,0.73,0.7410508083140877,0.4446304849884526,0.07472782707365981,999,999,0.0,999,0.0
37,TRUE,-1060.0,-5.3,0.7622500000000002,67,0.705,0.6334806157354618,0.40008836944127707,0.06810128103984528,0,0,0.25,1,0.0
37,Blind,-19260.0,-96.3,0.3743333333333333,164,0.395,0.5648612750885478,0.3389167650531287,0.0833333333333335,0,2,0.2,999,0.0
37,MOO,1260.0,6.3,0.7750833333333332,57,0.745,0.7518447461629281,0.45110684769775683,0.07410246981920587,999,999,0.0,999,0.0
38,TRUE,2080.0,10.4,0.7712499999999998,53,0.76,0.6611918604651164,0.4017151162790698,0.06691599263870011,0,0,0.25,2,0.9310579841575662
38,Blind,-26440.0,-132.2,0.3816666666666667,213,0.26,0.6276745495495495,0.3766047297297297,0.0833333333333335,6,2,0.2,999,0.0
38,MOO,-1300.0,-6.5,0.6639999999999996,67,0.715,0.7066969519343493,0.4340181711606096,0.07334291411535827,999,999,0.0,999,0.16896767063950077
39,TRUE,3800.0,19.0,0.7911666666666666,47,0.78,0.6501909518213866,0.405114571092832,0.06837823877165485,0,0,0.25,2,0.9193313622748098
39,Blind,-22280.0,-111.4,0.39008333333333334,172,0.34,0.6028508771929824,0.3617105263157894,0.0833333333333335,10,0,0.1,999,0.0
39,MOO,-1720.0,-8.6,0.7634999999999996,73,0.69,0.7367816091954023,0.44206896551724134,0.07322074901813588,999,999,0.0,999,0.0
40,TRUE,2640.0,13.2,0.7820833333333326,50,0.77,0.6216040462427745,0.38296242774566475,0.06974102390446191,0,0,0.25,2,0.6958398902746412
40,Blind,-21540.0,-107.7,0.3747500000000003,169,0.355,0.6119521337946943,0.36717128027681656,0.0833333333333335,25,2,0.0,999,0.0
40,MOO,-9500.0,-47.5,0.4710000000000001,112,0.585,0.7719788087056128,0.4681872852233676,0.07111216742977758,999,999,0.0,999,0.017786405603307368
41,TRUE,3520.0,17.6,0.7907500000000002,49,0.78,0.6520369284876906,0.41122215709261434,0.07122691931421465,2,4,0.15,19,0.9070936420302931
41,Blind,-23200.0,-116.0,0.3791666666666669,183,0.32,0.580211962833914,0.34812717770034834,0.0833333333333335,8,5,0.1,999,0.0
41,MOO,-2740.0,-13.7,0.767083333333333,78,0.665,0.7391493055555556,0.4434895833333333,0.07294937356997802,999,999,0.0,999,0.0
42,TRUE,3060.0,15.3,0.7808333333333332,50,0.775,0.6640717674970344,0.4284430604982207,0.06939996361486621,0,7,0.25,999,0.8487910089455528
42,Blind,-22020.0,-110.1,0.35150000000000003,185,0.345,0.5871478873239437,0.35228873239436626,0.0833333333333335,17,10,0.05,999,0.0
42,MOO,2560.0,12.8,0.7990833333333331,51,0.76,0.7408625730994152,0.4445175438596491,0.07593957400048675,999,999,0.0,999,0.0
43,TRUE,-2400.0,-12.0,0.7805833333333334,69,0.67,0.6703571428571429,0.4022142857142857,0.0671818952052028,0,0,0.25,1,0.9863773991022251
43,Blind,-22760.0,-113.8,0.41224999999999995,187,0.33,0.6382705479452055,0.38296232876712333,0.0833333333333335,2,2,0.2,999,0.0
43,MOO,-6400.0,-32.0,0.5363333333333332,89,0.64,0.7449363425925926,0.45696180555555554,0.07139111047720569,999,999,0.0,999,0.03184082460955029
44,TRUE,1520.0,7.6,0.7881666666666663,60,0.74,0.6685562571756603,0.4261337543053962,0.06924997268277354,0,2,0.25,999,0.0
