group,cumulative_utility_mean,cumulative_utility_sd,mean_quality,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
Blind,-20961.0,1029.879400195658,0.38682916666666667,174.75,0.3637499999999999,0.6002300363092347,0.3601380217855409,0.0833333333333335,5.85,15.05,0.145,999.0,0.0
MOO,-9954.0,10102.764811778272,0.6373041666666666,116.95,0.5485,0.7530094101833061,0.45880564610998353,0.07232521210474868,999.0,999.0,0.0,999.0,0.020039672549704256
TRUE,1547.0,1528.3327689451596,0.7719458333333332,57.55,0.7442500000000002,0.6490222207869062,0.4011633324721437,0.06788968881288338,0.2,1.95,0.27749999999999997,254.35,0.6221076794086493
