group,cumulative_utility_mean,cumulative_utility_sd,mean_quality,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
Blind,-5520.0,1075.5463727799001,0.3688666666666666,47.0,0.344,0.0,0.0,0.08333333333333336,599.4,999.0,0.02,999.0,0.0
MOO,312.0,385.3829264510819,0.7914,14.6,0.736,0.03219327565641823,0.016096637828209116,0.07805285924728625,999.0,999.0,0.0,999.0,0.0
TRUE,-2300.0,597.8294071054049,0.6543333333333334,28.6,0.5640000000000001,0.11478651750002067,0.06672659208334367,0.06867314229929669,599.4,999.0,0.05,999.0,0.528049903934577
