group,cumulative_utility_mean,cumulative_utility_sd,mean_quality,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
Blind,-5520.0,1075.5463727799001,0.3688666666666666,47.0,0.344,0.0,0.0,0.08333333333333336,599.4,999.0,0.02,999.0,0.0
MOO,408.0,372.7197338483703,0.7992000000000001,13.8,0.744,0.031557089287281494,0.015778544643640747,0.07815659908301371,999.0,999.0,0.0,999.0,0.0
TRUE,-3900.0,2210.33934046336,0.5156666666666668,40.6,0.45200000000000007,0.16877904266701496,0.10705618800017414,0.06201563251354144,199.8,999.0,0.06,999.0,0.45949620404893
