run,round,group,modules,utility,cumulative_utility,quality,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,1,TRUE,3,60,60.0,0.0,0,0.4934039746372186,0.08219429897263651,0.012820117913049822,0.006410058956524911,0,0
1,2,TRUE,4,-200,-140.0,0.5,1,0.493734465385104,0.08066789632546481,0.02962928522589925,0.014814642612949624,0,0
1,3,TRUE,3,60,-80.0,0.6666666666666666,0,0.49613350364205117,0.079492180682327,0.042258921926716875,0.021129460963358437,0,0
1,4,TRUE,5,-200,-280.0,0.6,1,0.4978450319853119,0.0779747476103137,0.05146619386956641,0.025733096934783206,0,0
1,5,TRUE,3,-200,-480.0,0.3333333333333333,1,0.49434349594150717,0.07700892023875057,0.060121617903475366,0.030060808951737683,0,0
1,6,TRUE,3,60,-420.0,0.3333333333333333,0,0.4906755763639633,0.07597756884395893,0.06990100260225396,0.03495050130112698,0,0
1,7,TRUE,4,60,-360.0,0.5,0,0.48876457612843566,0.07534690482902016,0.07111844991017335,0.03555922495508668,0,0
1,8,TRUE,3,60,-300.0,0.3333333333333333,0,0.48501688351461986,0.07448702989087333,0.0787572425215246,0.0393786212607623,0,0
1,9,TRUE,3,60,-240.0,0.3333333333333333,0,0.4809773828310234,0.07371789913601323,0.08446747769945095,0.04223373884972548,0,0
1,10,TRUE,5,-200,-440.0,0.0,3,0.4705191169656843,0.07185326059361619,0.09803675528443434,0.04901837764221717,0,0
1,11,TRUE,4,-200,-640.0,0.0,2,0.4630933563331955,0.0709281424998583,0.09880212786648146,0.04940106393324073,0,0
1,12,TRUE,5,-200,-840.0,0.0,3,0.4548257569454377,0.06935755039339049,0.10844760262420206,0.05422380131210103,0,0
1,13,TRUE,3,60,-780.0,0.3333333333333333,0,0.4534042733364441,0.06826039582662201,0.11526141449035276,0.05763070724517638,0,0
1,14,TRUE,4,60,-720.0,0.25,0,0.45056690632338,0.06742139672069321,0.12294284070516093,0.061471420352580464,0,0
1,15,TRUE,5,-200,-920.0,0.2,2,0.4440823198134547,0.06655902272644623,0.12518364570921947,0.06259182285460974,0,0
1,16,TRUE,3,60,-860.0,0.3333333333333333,0,0.4399658796242486,0.06602517382922515,0.12403342988876442,0.06201671494438221,0,0
1,17,TRUE,4,-200,-1060.0,0.75,1,0.443088017696368,0.06528866544535157,0.12922368345037683,0.06461184172518841,0,0
1,18,TRUE,5,-200,-1260.0,0.8,1,0.44690538506055333,0.06394669363066267,0.14051237930149418,0.07739904679360424,0,0
1,19,TRUE,3,60,-1200.0,0.0,0,0.44316500735293063,0.06341988838345321,0.14103385040639593,0.07051692520319797,0,0
1,20,TRUE,4,60,-1140.0,0.25,0,0.4421082658266904,0.06285238257742128,0.1426398436351004,0.0713199218175502,0,0
1,21,TRUE,3,60,-1080.0,0.0,0,0.4393525368852003,0.06216982167417814,0.1475631953370906,0.0737815976685453,0,0
1,22,TRUE,5,-200,-1280.0,0.4,2,0.4361392512176756,0.061343050899108166,0.14999295713346017,0.07499647856673008,0,0
1,23,TRUE,4,-200,-1480.0,0.25,1,0.4317565208430446,0.06065180803971091,0.15094888261769945,0.08261729845170687,0,0
1,24,TRUE,3,-200,-1680.0,0.0,1,0.42827174199758183,0.06003287320677883,0.15456921177061922,0.08442746302816675,0,0
1,25,TRUE,5,60,-1620.0,0.8,0,0.43138711728786205,0.05889068162917569,0.1629304699305838,0.08860809210814904,0,0
1,26,TRUE,5,-200,-1820.0,0.4,2,0.4304541210599468,0.05843579893812453,0.16140418220217034,0.08784494824394232,0,0
1,27,TRUE,5,60,-1760.0,0.6,0,0.43165682568032027,0.058010322379407175,0.16084562609471997,0.08756567019021713,0,0
1,28,TRUE,4,60,-1700.0,0.5,0,0.4300172899563775,0.05755883704667534,0.16330763474805976,0.08879667451688703,0,0
1,29,TRUE,5,60,-1640.0,0.6,0,0.42664552659672733,0.05734473546855723,0.15786534244209705,0.08607552836390567,0,0
1,30,TRUE,5,60,-1580.0,0.8,0,0.42721297083534737,0.056953660799376304,0.1618413204642013,0.09520637451781494,0,0
1,31,TRUE,3,60,-1520.0,0.6666666666666666,0,0.42644947897098223,0.05666368119175221,0.16431708533022804,0.09644425695082831,0,0
1,32,TRUE,3,60,-1460.0,0.3333333333333333,0,0.42491342616122,0.055984489951246406,0.16774388134242302,0.0981576549569258,0,0
1,33,TRUE,4,60,-1400.0,0.5,0,0.42307010703076264,0.05578128733887078,0.16808985134954724,0.10547349710334505,0,0
1,34,TRUE,5,100,-1300.0,1.0,0,0.4242883738738928,0.055637988510093134,0.170113491983223,0.11362817456304007,0,0
1,35,TRUE,5,100,-1200.0,1.0,0,0.4276584810907756,0.055450746652468845,0.17034349174206653,0.11374317444246183,0,0
1,36,TRUE,3,60,-1140.0,0.6666666666666666,0,0.4271292534848482,0.0553005423595447,0.17157887253666004,0.11436086483975859,0,0
1,37,TRUE,4,60,-1080.0,0.5,0,0.4261060311692349,0.05501662795536544,0.17417714225610204,0.11565999969947958,0,0
1,38,TRUE,4,60,-1020.0,0.75,0,0.42575651492241895,0.05485991298643176,0.1753588459521862,0.11625085154752167,0,0
1,39,TRUE,5,60,-960.0,0.8,0,0.4259459363816829,0.05466341037656055,0.1777878524839216,0.11746535481338936,0,0
1,40,TRUE,3,60,-900.0,0.6666666666666666,0,0.4264941537175509,0.05442071505686249,0.1810721497169383,0.12625036057275485,0,0
