scenario,group,cumulative_utility_mean,cumulative_utility_sd,cumulative_utility_ci_lo,cumulative_utility_ci_hi,mean_quality_true,mean_quality_surface,fatal_errors_mean,fatal_errors_sd,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,Blind,-23729.2,1857.7501762001577,-24108.2,-23369.2,0.34395250000000016,0.40156083333333337,208.98,14.09633522113697,0.3111,0.5301479920243429,0.3180887952146058,0.08333333333333372,6.69,7.95,0.14400000000000004,999.0,0.0
baseline,MOO-cap,870.6,2381.61044741417,376.8,1311.6,0.7811608333333331,0.7560916666666667,62.25,10.793165626563146,0.7299499999999999,0.7210195366857934,0.43286172201147616,0.0751666733962892,800.2,929.16,0.08950000000000002,999.0,0.05253789422902448
baseline,TRUE,700.0,1890.8071068069094,348.0,1087.4,0.7645474999999999,0.7365008333333332,61.0,8.246211251235321,0.7305000000000001,0.6148231463820898,0.3808938878292537,0.06731902945398821,0.06,1.22,0.47300000000000003,102.17,0.23245878352020863
baseline,TTB-cap,1685.0,1676.4087999788312,1376.8,2011.8,0.799198333333333,0.7682933333333327,58.56,7.621500687349751,0.7407499999999999,0.7403495049613271,0.4445097029767961,0.07785849759474833,999.0,999.0,0.0,999.0,0.0
observation_manipulated,Blind,-25323.2,1989.204642843745,-25718.0,-24922.8,0.33552000000000004,0.4371633333333335,199.19,13.317183401056461,0.33179999999999993,0.5190938752261023,0.31145632513566124,0.08333333333333372,4.93,6.39,0.14049999999999996,999.0,0.0
observation_manipulated,MOO-cap,1812.8,3181.181433544983,1136.4,2386.0,0.7931724999999997,0.6580316666666666,54.49,13.034139322517152,0.7616499999999999,0.6893382719011427,0.41360296314068584,0.07526080934859956,832.09,979.02,0.068,999.0,0.009957232215683646
observation_manipulated,TRUE,1651.2,2159.214821749945,1240.4,2061.6,0.7643216666666661,0.6439233333333333,52.8,8.094143037724965,0.7643999999999997,0.5567362403757268,0.33574174422543607,0.06687566864238154,0.0,0.01,0.4855,3.93,-0.0010172477389602285
observation_manipulated,TTB-cap,2715.2,1846.6220758209004,2352.0,3090.0,0.8049099999999999,0.6622866666666666,50.22,7.278833295344395,0.7750500000000002,0.7340690137506004,0.4404414082503603,0.07789074695482384,999.0,999.0,0.0,999.0,0.0
safety_critical,Blind,-53714.0,2501.806216203474,-54199.2,-53209.8,0.34326083333333346,0.3770308333333335,214.43,12.92031131375883,0.29700000000000004,0.5347007902964035,0.320820474177842,0.08333333333333372,7.19,6.71,0.12899999999999998,999.0,0.0
safety_critical,MOO-cap,-3067.2,3441.0399179857995,-3721.4,-2404.8,0.8187424999999995,0.7426166666666663,40.92,8.463444865413786,0.8139499999999995,0.7370191870301548,0.44841151221809306,0.07625128647162879,939.18,989.01,0.0345,999.0,0.008990673728286457
safety_critical,TRUE,-3195.2,2771.4010168071304,-3726.4,-2667.6,0.7960299999999996,0.7193841666666663,40.58,7.045565981523415,0.8167499999999995,0.6435181137932304,0.4068108682759379,0.06820121717111007,0.2,2.53,0.33600000000000013,91.23,0.20918441770229745
safety_critical,TTB-cap,-1913.4,2556.821029672937,-2438.4,-1393.8,0.8284474999999998,0.7510083333333333,38.89,6.240783102894519,0.8232500000000005,0.7457395703150412,0.4530437421890246,0.07785087301224895,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,Blind,-21895.5,1540.1668380045355,-22200.0,-21596.4,0.3369291666666668,0.39401500000000006,207.39,12.481011840618395,0.3037500000000001,0.535175777714806,0.32110546662888373,0.08333333333333372,6.93,7.08,0.135,999.0,0.0
utility_trust_misalignment,MOO-cap,2022.9,2445.5807576983107,1529.4,2486.2,0.7624774999999999,0.7237891666666664,59.16,11.97617162822439,0.7393499999999996,0.7151928580974309,0.42916571485845856,0.07535316206740933,790.01,949.26,0.14900000000000002,999.0,0.055031147207548266
utility_trust_misalignment,TRUE,2023.6,1856.9207268643931,1672.3,2390.6,0.7424975,0.7065324999999996,57.12,8.411488055815768,0.7473999999999996,0.5911515576308968,0.3640909345785382,0.0673105768132703,0.03,0.08,0.4425,72.98,0.3233892670407839
utility_trust_misalignment,TTB-cap,3129.3,1520.664564317758,2849.3,3434.9,0.7777608333333333,0.7369633333333333,54.41,7.235008882880072,0.75735,0.7363978239034443,0.4419386943420666,0.0779879384138081,999.0,999.0,0.0,999.0,0.0
