run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,utility_trust_misalignment,TRUE,2090.0,10.45,0.7446666666666663,0.6864999999999994,55,0.755,0.5954324169530356,0.3672594501718214,0.06666730500978693,0,0,1.05,0,0.0
1,utility_trust_misalignment,TTB-cap,1950.0,9.75,0.7629166666666666,0.7345833333333331,61,0.735,0.7367554410080184,0.44205326460481104,0.07826329614574284,999,999,0.0,999,0.0
1,utility_trust_misalignment,MOO-cap,680.0,3.4,0.7559999999999998,0.7212500000000003,63,0.71,0.6993843069873997,0.4196305841924398,0.07350818531777081,999,999,0.0,999,0.0
1,utility_trust_misalignment,Blind,-22250.0,-111.25,0.32825000000000026,0.40050000000000013,220,0.295,0.53987686139748,0.323926116838488,0.0833333333333335,10,5,0.05,999,0.0
2,utility_trust_misalignment,TRUE,-220.0,-1.1,0.7298333333333331,0.7344999999999997,66,0.71,0.5826518691588785,0.35959112149532707,0.06707797798541257,0,0,0.25,1,0.0
2,utility_trust_misalignment,TTB-cap,3280.0,16.4,0.7745833333333334,0.7429166666666663,51,0.76,0.7355432242990654,0.4413259345794392,0.0779998795446906,999,999,0.0,999,0.0
2,utility_trust_misalignment,MOO-cap,1150.0,5.75,0.7699166666666664,0.7144166666666666,64,0.715,0.654643691588785,0.392786214953271,0.07371796503561791,4,999,0.95,999,0.0
2,utility_trust_misalignment,Blind,-20700.0,-103.5,0.34775000000000006,0.3675000000000002,199,0.33,0.5360689252336448,0.3216413551401869,0.0833333333333335,9,16,0.15,999,0.0
3,utility_trust_misalignment,TRUE,-310.0,-1.55,0.74675,0.7140833333333332,74,0.695,0.5653376844494893,0.35420261066969355,0.06655113343132729,0,0,0.8,1,0.8186455661071526
3,utility_trust_misalignment,TTB-cap,1550.0,7.75,0.7754166666666665,0.7284999999999997,62,0.725,0.7428348467650396,0.4457009080590238,0.07828141844018029,999,999,0.0,999,0.0
3,utility_trust_misalignment,MOO-cap,2200.0,11.0,0.7579999999999996,0.6828333333333327,54,0.76,0.798027809307605,0.478816685584563,0.076876454556899,999,999,0.0,999,0.0
3,utility_trust_misalignment,Blind,-21960.0,-109.8,0.35341666666666677,0.39933333333333315,220,0.3,0.5288734392735528,0.3173240635641317,0.0833333333333335,10,0,0.15,999,0.0
4,utility_trust_misalignment,TRUE,3560.0,17.8,0.7671666666666662,0.6911666666666662,54,0.77,0.6091986455981941,0.3755191873589165,0.0663043624626129,0,0,0.55,1,0.9107565966950958
4,utility_trust_misalignment,TTB-cap,-260.0,-1.3,0.7491666666666663,0.7287499999999995,67,0.7,0.7392776523702032,0.4435665914221219,0.07743827052839314,999,999,0.0,999,0.0
4,utility_trust_misalignment,MOO-cap,-1540.0,-7.7,0.7339166666666663,0.7430833333333327,73,0.68,0.7299661399548534,0.43797968397291204,0.07525171037642839,2,1,0.35,999,0.0
4,utility_trust_misalignment,Blind,-22080.0,-110.4,0.3830833333333335,0.41408333333333347,202,0.3,0.5434537246049662,0.3260722347629797,0.0833333333333335,7,24,0.15,999,0.0
5,utility_trust_misalignment,TRUE,4640.0,23.2,0.7616666666666667,0.7114166666666665,42,0.8,0.5397862232779098,0.3288717339667459,0.06707089069295077,0,0,0.5,0,0.0
5,utility_trust_misalignment,TTB-cap,3450.0,17.25,0.7720833333333332,0.7493333333333331,49,0.765,0.7372327790973872,0.4423396674584323,0.07827449069317258,999,999,0.0,999,0.0
5,utility_trust_misalignment,MOO-cap,3680.0,18.4,0.7672499999999997,0.7257499999999996,59,0.77,0.6538004750593824,0.39228028503562945,0.07608802943650307,999,999,0.0,999,0.0
5,utility_trust_misalignment,Blind,-18280.0,-91.4,0.3431666666666668,0.3792500000000001,188,0.38,0.5207838479809976,0.31247030878859855,0.0833333333333335,2,0,0.25,999,0.0
6,utility_trust_misalignment,TRUE,1570.0,7.85,0.7389166666666666,0.7175833333333331,61,0.745,0.6264334862385321,0.38586009174311925,0.06991431026891064,0,0,0.25,1,0.0
6,utility_trust_misalignment,TTB-cap,4270.0,21.35,0.7962499999999997,0.7500833333333332,49,0.775,0.7349483944954129,0.44096903669724774,0.07765690604387471,999,999,0.0,999,0.0
6,utility_trust_misalignment,MOO-cap,140.0,0.7,0.7259166666666665,0.7193333333333333,70,0.71,0.7011181192660549,0.42067087155963295,0.0737206840977755,4,999,1.0,999,0.0
6,utility_trust_misalignment,Blind,-23920.0,-119.6,0.33708333333333335,0.4084166666666667,216,0.26,0.5495986238532109,0.32975917431192653,0.0833333333333335,12,13,0.1,999,0.0
7,utility_trust_misalignment,TRUE,2910.0,14.55,0.7406666666666669,0.70625,57,0.765,0.5224247685185186,0.31845486111111115,0.06850005897155509,0,0,0.25,0,0.0
7,utility_trust_misalignment,TTB-cap,4100.0,20.5,0.8064166666666663,0.7368333333333331,48,0.77,0.7417534722222223,0.4450520833333334,0.07827304565397437,999,999,0.0,999,0.0
7,utility_trust_misalignment,MOO-cap,2270.0,11.35,0.78425,0.7394166666666667,61,0.725,0.7414641203703705,0.44487847222222227,0.07813194895642653,999,999,0.0,999,0.0
7,utility_trust_misalignment,Blind,-23170.0,-115.85,0.34983333333333344,0.39508333333333356,216,0.275,0.5765335648148149,0.3459201388888889,0.0833333333333335,8,17,0.1,999,0.0
8,utility_trust_misalignment,TRUE,3530.0,17.65,0.7679166666666665,0.7178333333333332,46,0.785,0.5652616279069766,0.349156976744186,0.06895019397183813,0,0,0.5,1,0.8552443671765882
8,utility_trust_misalignment,TTB-cap,2400.0,12.0,0.7768333333333334,0.7298333333333329,57,0.75,0.7372093023255815,0.4423255813953489,0.07826216968696278,999,999,0.0,999,0.0
8,utility_trust_misalignment,MOO-cap,-3940.0,-19.7,0.7258333333333334,0.6796666666666666,95,0.62,0.6611918604651164,0.3967151162790698,0.07049580275910076,0,999,1.5,999,0.7810969658909798
8,utility_trust_misalignment,Blind,-20010.0,-100.05,0.33041666666666686,0.37825000000000025,196,0.345,0.538517441860465,0.323110465116279,0.0833333333333335,24,0,0.0,999,0.0
9,utility_trust_misalignment,TRUE,1650.0,8.25,0.7529166666666665,0.7221666666666664,62,0.735,0.6177156177156178,0.3806293706293707,0.06750827837516249,0,0,0.35,2,0.49392605153721525
9,utility_trust_misalignment,TTB-cap,4180.0,20.9,0.7814166666666662,0.7618333333333331,46,0.79,0.74256993006993,0.445541958041958,0.07830431159705528,999,999,0.0,999,0.0
9,utility_trust_misalignment,MOO-cap,3970.0,19.85,0.7786666666666663,0.7304999999999997,55,0.775,0.7411130536130537,0.4446678321678322,0.07679628700066062,999,999,0.0,999,0.0
9,utility_trust_misalignment,Blind,-22540.0,-112.7,0.3520833333333334,0.4095833333333333,211,0.29,0.5539044289044288,0.3323426573426573,0.0833333333333335,1,0,0.2,999,0.0
10,utility_trust_misalignment,TRUE,130.0,0.65,0.73225,0.7111666666666666,64,0.715,0.5421006944444444,0.33526041666666667,0.06841457967276952,0,0,0.25,2,0.0
10,utility_trust_misalignment,TTB-cap,4840.0,24.2,0.8019166666666666,0.7856666666666666,53,0.79,0.7340856481481481,0.44045138888888885,0.07781470086866125,999,999,0.0,999,0.0
10,utility_trust_misalignment,MOO-cap,-5960.0,-29.8,0.7214166666666659,0.7022499999999993,105,0.58,0.6417824074074074,0.38506944444444446,0.06963109583684682,0,999,1.4,999,0.0
10,utility_trust_misalignment,Blind,-20410.0,-102.05,0.3502500000000002,0.3981666666666667,200,0.335,0.5102719907407407,0.3061631944444444,0.0833333333333335,4,1,0.1,999,0.0
11,utility_trust_misalignment,TRUE,4010.0,20.05,0.7521666666666667,0.6849999999999998,52,0.785,0.5442251461988303,0.3465350877192982,0.06715569216955652,0,0,1.1,1,0.0
11,utility_trust_misalignment,TTB-cap,4050.0,20.25,0.7938333333333332,0.7369999999999997,50,0.765,0.7377923976608187,0.4426754385964912,0.078248809394038,999,999,0.0,999,0.0
11,utility_trust_misalignment,MOO-cap,1330.0,6.65,0.7309999999999998,0.706583333333333,54,0.745,0.7946637426900585,0.47679824561403505,0.0769966228390031,999,999,0.0,999,0.0
11,utility_trust_misalignment,Blind,-23000.0,-115.0,0.30908333333333327,0.3910833333333332,217,0.28,0.5576754385964913,0.33460526315789474,0.0833333333333335,11,11,0.05,999,0.0
12,utility_trust_misalignment,TRUE,4190.0,20.95,0.7636666666666663,0.7185000000000002,45,0.785,0.6300117924528301,0.37800707547169804,0.06742577896761208,0,0,0.25,999,0.0
12,utility_trust_misalignment,TTB-cap,3230.0,16.15,0.7849166666666663,0.7388333333333337,52,0.755,0.7382075471698113,0.4429245283018868,0.07828611756518468,999,999,0.0,999,0.0
12,utility_trust_misalignment,MOO-cap,2630.0,13.15,0.7615,0.7081666666666665,54,0.755,0.7351120283018868,0.4410672169811321,0.07636209142098928,999,999,0.0,999,0.0
12,utility_trust_misalignment,Blind,-22590.0,-112.95,0.3345000000000002,0.37016666666666675,214,0.285,0.531692216981132,0.31901533018867917,0.0833333333333335,1,8,0.15,999,0.0
13,utility_trust_misalignment,TRUE,1220.0,6.1,0.7085833333333329,0.7264166666666664,59,0.74,0.5701380728554641,0.34708284371327847,0.06644152833796946,0,0,0.25,1,0.0
13,utility_trust_misalignment,TTB-cap,1850.0,9.25,0.7802500000000001,0.7271666666666661,67,0.725,0.7343566392479437,0.4406139835487662,0.07827566160185555,999,999,0.0,999,0.0
13,utility_trust_misalignment,MOO-cap,2730.0,13.65,0.7784166666666666,0.7279166666666664,61,0.735,0.7323002350176264,0.4393801410105758,0.07732645236742855,999,999,0.0,999,0.0
13,utility_trust_misalignment,Blind,-21390.0,-106.95,0.3289166666666666,0.37116666666666676,195,0.315,0.5162309048178613,0.30973854289071673,0.0833333333333335,1,1,0.1,999,0.0
14,utility_trust_misalignment,TRUE,1720.0,8.6,0.7465,0.7098333333333331,61,0.73,0.6062062937062938,0.3637237762237762,0.06588863584546392,0,4,0.35,0,0.9691757471804601
14,utility_trust_misalignment,TTB-cap,6180.0,30.9,0.7935833333333333,0.7440000000000001,46,0.81,0.734411421911422,0.44064685314685315,0.07753058756728701,999,999,0.0,999,0.0
14,utility_trust_misalignment,MOO-cap,1610.0,8.05,0.754083333333333,0.7074999999999997,65,0.725,0.6905594405594406,0.4143356643356644,0.07392277198774147,999,999,0.0,999,0.0
14,utility_trust_misalignment,Blind,-22710.0,-113.55,0.31541666666666673,0.4017500000000001,210,0.285,0.5528846153846154,0.3317307692307692,0.0833333333333335,11,9,0.1,999,0.0
15,utility_trust_misalignment,TRUE,2780.0,13.9,0.7269999999999996,0.6964999999999999,53,0.77,0.6156946072684641,0.37441676436107846,0.06787936902016402,0,0,0.65,1,0.0
15,utility_trust_misalignment,TTB-cap,2000.0,10.0,0.7720833333333335,0.7225000000000001,60,0.74,0.7430392731535755,0.44582356389214534,0.07825541348522125,999,999,0.0,999,0.0
15,utility_trust_misalignment,MOO-cap,1840.0,9.2,0.7730000000000001,0.7401666666666668,57,0.73,0.7430392731535755,0.44582356389214534,0.07826108651479491,999,999,0.0,999,0.0
15,utility_trust_misalignment,Blind,-20230.0,-101.15,0.3624166666666667,0.3939166666666668,198,0.335,0.5488716295427902,0.32932297772567415,0.0833333333333335,4,11,0.15,999,0.0
16,utility_trust_misalignment,TRUE,3370.0,16.85,0.7360833333333332,0.7181666666666664,51,0.775,0.6024122807017545,0.3614473684210527,0.0660152820635037,0,0,0.25,999,0.0
16,utility_trust_misalignment,TTB-cap,5490.0,27.45,0.8012499999999996,0.7629999999999998,44,0.795,0.7369152046783625,0.44214912280701746,0.07824348988711631,999,999,0.0,999,0.0
16,utility_trust_misalignment,MOO-cap,-1310.0,-6.55,0.7048333333333332,0.6830000000000002,72,0.685,0.625219298245614,0.37513157894736837,0.06714073859323462,0,999,1.4,999,0.6717926297549869
