group,cumulative_utility_mean,cumulative_utility_sd,mean_quality,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
Blind,-20961.0,1029.879400195658,0.38682916666666667,174.75,0.3637499999999999,0.0,0.0,0.0833333333333335,5.85,15.05,0.145,999.0,0.0
MOO,2226.0,2145.1742660163877,0.8055666666666665,56.4,0.75,0.03274599082457648,0.016997995412288237,0.07788687582703886,999.0,999.0,0.0,999.0,0.0
TRUE,1547.0,1528.3327689451596,0.7719458333333332,57.55,0.7442500000000002,0.10777824635007924,0.06857662317503961,0.06788968881288338,0.2,1.95,0.27749999999999997,999.0,0.6221076794086493
