group,cumulative_utility_mean,cumulative_utility_sd,mean_quality,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
Blind,-21130.0,936.9098142297369,0.38652500000000006,176.3,0.36049999999999993,0.0,0.0,0.0833333333333335,8.8,16.7,0.13999999999999999,999.0,0.0
MOO,-12692.0,9456.201727496675,0.6205916666666665,128.7,0.499,0.0820214623737698,0.04851073118688489,0.07234470122203182,999.0,999.0,0.0,999.0,0.016834937559775463
TRUE,1290.0,1174.8947943444884,0.7683499999999999,58.7,0.7385,0.11247390805490612,0.06811195402745304,0.06729892268425891,0.1,1.6,0.295,999.0,0.6306194913896629
