run,round,group,modules,utility,cumulative_utility,quality,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
3,67,TRUE,4,100,360.0,1.0,0,0.4923101492851914,0.0682944270054348,0.09551313622688729,0.06108990144677698,0,0
3,68,TRUE,3,60,420.0,0.6666666666666666,0,0.4921243949879396,0.06829328337821418,0.09518182044097245,0.06092424355381956,0,0
3,69,TRUE,4,100,520.0,1.0,0,0.49234132777560785,0.06828559895375952,0.09554607650931368,0.06110637158799018,0,0
3,70,TRUE,5,60,580.0,0.8,0,0.49228601388978327,0.06828053632033525,0.0954616941262929,0.06106418039647979,0,0
3,71,TRUE,4,60,640.0,0.5,0,0.49179468075028077,0.06828366696510536,0.09465737331131296,0.06066201998898982,0,0
3,72,TRUE,5,100,740.0,1.0,0,0.4921380875608087,0.0682736126880977,0.09523206629227965,0.06094936647947316,0,0
3,73,TRUE,4,60,800.0,0.75,0,0.49200166311425725,0.06827215921408211,0.09501116155929523,0.06083891411298095,0,0
3,74,TRUE,5,100,900.0,1.0,0,0.49219485505652594,0.06826549511670597,0.09534375015090935,0.06100520840878801,0,0
3,75,TRUE,4,100,1000.0,1.0,0,0.4923579346225256,0.06826046661999738,0.09561490769196235,0.06114078717931451,0,0
3,76,TRUE,5,60,1060.0,0.8,0,0.49230503299990386,0.0682579391143418,0.09554671336876952,0.061106690017718096,0,0
3,77,TRUE,5,100,1160.0,1.0,0,0.4925581006841586,0.06825195653877185,0.09597424571963531,0.06132045619315099,0,0
3,78,TRUE,5,100,1260.0,1.0,0,0.4927773771517772,0.06824651942144412,0.09634471040138637,0.06817235520069319,0,0
3,79,TRUE,5,-200,1060.0,0.6,1,0.49100797998621176,0.06791370328253513,0.09911074932381347,0.06288870799524007,0,0
3,80,TRUE,4,60,1120.0,0.75,0,0.49079270145420717,0.06791450744940486,0.0987664147265308,0.06271654069659874,0,0
3,81,TRUE,5,60,1180.0,0.8,0,0.4906930670234445,0.06791294354159609,0.09862446342016207,0.06264556504341437,0,0
3,82,TRUE,4,60,1240.0,0.75,0,0.49057057795831016,0.06791210218504293,0.0984092283297926,0.06253794749822963,0,0
3,83,TRUE,3,100,1340.0,1.0,0,0.49074241338079644,0.06790725039441581,0.09869902122566643,0.06268284394616655,0,0
3,84,TRUE,5,100,1440.0,1.0,0,0.49091225744734523,0.06790296457327713,0.09898743469136329,0.06949371734568165,0,0
3,85,TRUE,5,-200,1240.0,0.4,2,0.4904389848956097,0.06790556987044508,0.09818408241744336,0.06242537454205502,0,0
3,86,TRUE,3,100,1340.0,1.0,0,0.4905523044729383,0.06790174372122806,0.09837618749101584,0.06252142707884126,0,0
3,87,TRUE,3,60,1400.0,0.6666666666666666,0,0.49055902012926433,0.0678988991898817,0.09836891947650739,0.06251779307158703,0,0
3,88,TRUE,5,100,1500.0,1.0,0,0.4907735665055883,0.06789369061448226,0.09873957021754576,0.06270311844210621,0,0
3,89,TRUE,4,-200,1300.0,0.75,1,0.4907376042845192,0.06789187141546536,0.09865715327934366,0.06266190997300516,0,0
3,90,TRUE,5,100,1400.0,1.0,0,0.4909318826088944,0.06788776410866233,0.0989883150073887,0.06282749083702768,0,0
3,91,TRUE,5,100,1500.0,1.0,0,0.4910887106973581,0.06788414585092724,0.09925047238773343,0.06295856952720005,0,0
3,92,TRUE,5,60,1560.0,0.8,0,0.49100491472186536,0.06788294521282175,0.0991323502057353,0.06289950843620098,0,0
3,93,TRUE,4,100,1660.0,1.0,0,0.4911136850954057,0.06787938462807004,0.0993127642472944,0.06298971545698054,0,0
3,94,TRUE,4,100,1760.0,1.0,0,0.49127120229459764,0.0678760756302797,0.09957921164047323,0.06312293915356995,0,0
3,95,TRUE,5,-200,1560.0,0.8,1,0.49127451879903494,0.06787318668305876,0.09956780867800297,0.06311723767233482,0,0
3,96,TRUE,5,100,1660.0,1.0,0,0.4914054092087248,0.06787012268387108,0.09978704737365818,0.06322685702016242,0,0
3,97,TRUE,4,100,1760.0,1.0,0,0.4915619964376747,0.06786699966093801,0.10004796420032291,0.06335731543349479,0,0
3,98,TRUE,4,100,1860.0,1.0,0,0.49167632002118095,0.06786370570351259,0.10023888457045849,0.06345277561856258,0,0
3,99,TRUE,4,100,1960.0,1.0,0,0.4918122758590975,0.06786019677728101,0.10046948669107714,0.0635680766788719,0,0
3,100,TRUE,4,-200,1760.0,0.5,1,0.4921355690813468,0.0688277462438965,0.09449175350413119,0.059745876752065594,0,0
3,101,TRUE,5,-200,1560.0,0.4,2,0.49338880550161945,0.06851676403667233,0.09617179640249707,0.06058589820124853,0,1
3,102,TRUE,5,60,1620.0,0.6,0,0.49313389814120256,0.06851779471964917,0.09576654436096743,0.06038327218048371,0,0
3,103,TRUE,5,-200,1420.0,0.6,1,0.4928711842676652,0.06851876921011782,0.09533155485354117,0.06016577742677058,0,0
3,104,TRUE,5,100,1520.0,1.0,0,0.493036828953469,0.06851592744223527,0.095614290003458,0.060307145001729,0,0
3,105,TRUE,5,60,1580.0,0.8,0,0.4929515850002083,0.06851517599786178,0.09548747269241309,0.06024373634620654,0,0
3,106,TRUE,4,100,1680.0,1.0,0,0.493107751819609,0.06851258473363286,0.09575150504998842,0.060375752524994206,0,0
3,107,TRUE,4,100,1780.0,1.0,0,0.49415913122536714,0.06829995755416823,0.09739238387883131,0.06119619193941565,0,1
3,108,TRUE,4,60,1840.0,0.75,0,0.4940863960010436,0.06829920390816901,0.09729062139560352,0.061145310697801755,0,0
3,109,TRUE,4,100,1940.0,1.0,0,0.49421943942353935,0.06829694661004578,0.0975076034211142,0.061253801710557096,0,0
3,110,TRUE,5,100,2040.0,1.0,0,0.4948782494193348,0.06817063059871281,0.09856805342253838,0.06178402671126919,0,1
3,111,TRUE,5,60,2100.0,0.6,0,0.49513658718423176,0.0680752476307629,0.09899723386226356,0.061998616931131775,0,1
3,112,TRUE,5,-200,1900.0,0.6,1,0.49498344755140594,0.06807544213136932,0.09873513135057199,0.06186756567528599,0,0
3,113,TRUE,4,-200,1700.0,0.75,1,0.4949741637277705,0.06807462180511223,0.09870295150384667,0.06185147575192333,0,0
3,114,TRUE,4,100,1800.0,1.0,0,0.49515597828226676,0.0680291812836864,0.09901504401286076,0.06200752200643038,0,1
